osoba,rola,zgadywanie,ile_filmow
Diana Garay,zdjęcia,chyba K (imię na -a),1
Diana Toucedo,montaż,chyba K (imię na -a),1
Die Spezies - Gregor Mörth,muzyka,brak,1
Dimitri Ouedraogo,montaż,brak,1
Ding Ke kostiumy Ka Lo Ng scenografia Ka Lo Ng,muzyka,brak,1
Dodo Šimončič,zdjęcia,brak,1
Dominykas Digimas,muzyka,brak,1
Dorit Chrysler kostiumy Denise Leisentritt scenografia Andrej Rutar,muzyka,brak,1
Doruntina Basha,scenariusz,chyba K (imię na -a),1
Doug Harris,zdjęcia,brak,1
Dr. Patrick C. Hickey,zdjęcia,brak,1
Dörte Völz-Mammarella,montaż,brak,1
Efraín Mojica,scenariusz,brak,1
Efthimis Filippou,scenariusz,brak,1
Ehsan Abdipour,scenariusz,brak,1
Eicca Toppinen kostiumy Tiina Kaukanen scenografia Kari Kankaanpää charakteryzacja Riikka Virtanen,muzyka,chyba K (imię na -a),1
Eike Hosenfeld kostiumy Sabrina Krämer scenografia Cosima Vellenzer charakteryzacja Irina Schwarz,muzyka,brak,1
Eisuke Naitô,scenariusz,brak,1
Eivind Landsvik,scenariusz,brak,1
Elfriede Jelinek,scenariusz,brak,1
Eliane Bründler,muzyka,brak,1
Elias Boughedir,muzyka,brak,1
Elie Wajeman,scenariusz,brak,1
Elo Havetta,scenariusz,brak,1
Emiel Nuninga,montaż,brak,1
Emin Alper,scenariusz,brak,1
Enda Walsh,scenariusz,chyba K (imię na -a),1
Enis Köstepen,scenariusz,brak,1
Ennio Morricone kostiumy Beatrice Bordone scenografia Andrea Crisanti,muzyka,brak,1
Erik Ljunggren,muzyka,brak,1
Ernest Pipó kostiumy Anna Aguilà scenografia Mónica Bernuy charakteryzacja Patricia López,muzyka,brak,1
Ery Claver,zdjęcia,brak,1
Eskil Vogt,scenariusz,brak,1
Estel Román,montaż,brak,1
Evelina Darzenta scenografia Stavros Liokalos charakteryzacja Alexandra Myta,muzyka,chyba K (imię na -a),1
Evgueni Galperine,muzyka,brak,1
Fabian Gamper,zdjęcia,brak,1
Fabricio Mota,zdjęcia,brak,1
Faris Badwan kostiumy Andrea Flesch scenografia Pater Sparrow,muzyka,brak,1
Fatiha Robichet,muzyka,chyba K (imię na -a),1
Fatz Waller kostiumy Hazel Pethig scenografia Roy Fordge Smith charakteryzacja Pam Luke,muzyka,brak,1
Felipe Esparza Pérez,scenariusz,brak,1
Felipe Esparza Pérez,montaż,brak,1
Felipe Guerrero,montaż,brak,1
Felix Pflieger,zdjęcia,brak,1
Ferenc Grunwalsky,scenariusz,brak,1
Filmsaaz,scenariusz,brak,1
Filmsaaz,muzyka,brak,1
Flavia Cordey,montaż,chyba K (imię na -a),1
Flavien Berger kostiumy Becky Akinyode scenografia Meriem Bennani,muzyka,brak,1
Florencia Di Concilio,muzyka,chyba K (imię na -a),1
Florencia Di Concilio scenografia Gaëlle Usandivaras charakteryzacja Laure Giroult,muzyka,chyba K (imię na -a),1
Florencia Gómez García,montaż,chyba K (imię na -a),1
Fouad Gaber,montaż,brak,1
Francis Poulenc kostiumy Tabea Blumenschein,muzyka,brak,1
Frederick Elmes,zdjęcia,brak,1
Frederick Wiseman,zdjęcia,brak,1
Frederikke Hoffmeier,muzyka,brak,1
Fredrik Morheden,montaż,brak,1
Gaspard Gomis,muzyka,brak,1
Gastón Solnicki,scenariusz,brak,1
Gediminas Jakubka,muzyka,brak,1
Geneviève Ackerman,scenariusz,brak,1
Georges Auric kostiumy Georges Annenkov scenografia Jean d'Eaubonne,muzyka,brak,1
Georges Rabol,muzyka,brak,1
Gerardo Guerra,zdjęcia,brak,1
Gergely Pálos,zdjęcia,brak,1
Germán Arrieta,muzyka,brak,1
Gesa Jäger,montaż,chyba K (imię na -a),1
Ghyslain Martin scenografia Jacques Saulnier charakteryzacja Josiane Deschamps,muzyka,brak,1
Gillian L. Hutshing,montaż,brak,1
Gioacchino Rossini,muzyka,brak,1
Gion-Reto Killias,montaż,brak,1
Giorgi Koberidze,muzyka,brak,1
Giorgi Shvelidze,zdjęcia,brak,1
Giorgia Villa,montaż,chyba K (imię na -a),1
Giorgos Georgopoulos,scenariusz,brak,1
Giorgos Georgopoulos,montaż,brak,1
Giorgos Karvelas,zdjęcia,brak,1
Giorgos Valsamis,zdjęcia,brak,1
Gordon Swire,montaż,brak,1
Graham Chapman,scenariusz,brak,1
Gray Kotzé,zdjęcia,brak,1
Greta Zozula,zdjęcia,chyba K (imię na -a),1
Gris Jordana,zdjęcia,brak,1
Gunnar Nimpuno,zdjęcia,brak,1
Gustav Holst scenografia Alex Peña,muzyka,brak,1
György Kovács kostiumy Ildikó Szabó scenografia Tamás Banovich charakteryzacja Adrienne Király,muzyka,brak,1
György Kovács kostiumy Judit Schäffer scenografia Tamás Banovich,muzyka,brak,1
György Kovács kostiumy Zsuzsa Vicze scenografia Tamás Banovich charakteryzacja Attila Ungvári,muzyka,brak,1
György Pálfi,scenariusz,brak,1
Gábor Keresztes scenografia Imola Láng,muzyka,brak,1
Gábor Medvigy,zdjęcia,brak,1
Géraldine Lemaire,muzyka,brak,1
Gústav Geir Bollason,scenariusz,brak,1
Gústav Geir Bollason,zdjęcia,brak,1
Hania Rani kostiumy Ellen Dæhli Ystehede scenografia Josefin Åsberg,muzyka,chyba K (imię na -a),1
