osoba,rola,zgadywanie,ile_filmow
Yorgos Zafeiris,montaż,brak,1
Yorick Le Saux,zdjęcia,brak,1
Youcef Tobni,montaż,brak,1
Yuval Barazani,muzyka,brak,1
Yûta Tsukinaga,zdjęcia,chyba K (imię na -a),1
Zdeněk Liška kostiumy Ester Krumbachová scenografia Vladimír Labský charakteryzacja Josef Lojik,muzyka,brak,1
Zorán Sztevanovity,muzyka,brak,1
Zuza Kernbach,zdjęcia,chyba K (imię na -a),1
archival footage,zdjęcia,brak,1
based on a story by Dennis Lee and Jim Henson,scenariusz,brak,1
found footage,zdjęcia,brak,1
Özcan Vardar,montaż,brak,1
İlker Çatak,scenariusz,brak,1
