tytul_pl,rok,sekcja,reżyseria,scenariusz,zdjęcia,montaż,muzyka,dźwięk,producent,kostiumy,scenografia,charakteryzacja,pierwsza_w_obsadzie,plec_pierwszej
"Dwie pory roku, dwoje nieznajomych",2025,Fale,M,M,M,K,?,,M,,?,,Eun Kyung Shim,
Jezioro,2025,Fale,M,M,M,?,,,M,?,,,Clotilde Courau,K
Kiedy zimową nocą,2025,Fale,M,K,M,?,,,?,?,?,,Bhanu Priyamvada,
Kura,2025,Fale,M,KM,M,K,?,,?,,,,Yannis Kokiasmenos,M
Między marzeniem i nadzieją,2025,Fale,K,K,M,K,,?,?,,?,,Fereshteh Hosseini,
Muchy,2026,Fale,M,?,K,?,,?,KM,?,?,?,Teresita Sánchez,
Najsamotniejszy człowiek w mieście,2026,Fale,KM,K,M,K,?,,KM,,?,,Alois Koch,
Nawet Bóg nie pomoże,2025,Fale,K,K,?,?,?,?,K,?,,,Manuela Martelli,K
Rola drugoplanowa,2026,Fale,K,K,M,?,M,,?,?,?,?,Dato Bakhtadze,
Szepty w maju,2026,Fale,?,?,?,?,M,,?,,,,Mathxiemop Atnyop,
Wstyd i pieniądze,2026,Fale,M,KM,M,K,M,,KM,,?,?,Astrit Kabashi,
Wszyscy zakochani nocą,2026,Fale,K,?,M,?,M,?,?,,?,,Yukino Kishii,
Za zwycięstwo!,2025,Fale,M,M,?,M,?,?,?,?,M,,Valentyn Vasyanovych,M
Biały ślimak,2025,Odkrycia,KM,KM,?,M,M,,KM,?,?,?,Marya Imbro,
Clarissa,2026,Odkrycia,M,M,?,?,?,,?,?,?,,Sophie Okonedo,K
Cyklon,2026,Odkrycia,M,?,?,?,?,,?,?,?,,Yuqiao Liu,
Czarna godzina,2026,Odkrycia,M,M,?,?,K,,M,?,,,Helka Rząsa,
"Dni, których nie znamy",2026,Odkrycia,K,K,?,?,K,,?,?,?,,Wiesława Wieczorek,
Flesh and Fuel,2026,Odkrycia,M,?,?,M,M,?,?,,,,Alexis Manenti,M
Kroniki oblężenia,2026,Odkrycia,M,M,M,M,,?,?,,,,Nadeem Rimawi,M
Lionel,2025,Odkrycia,?,?,?,K,?,,?,?,K,,Lionel Corral Bernal,
Modlitwa za umierających,2026,Odkrycia,?,?,K,M,K,,K,?,?,?,Johnny Flynn,M
Moja semba,2026,Odkrycia,?,?,M,K,?,?,M,,?,,Euclides Teixeira,
Pieśni zapomnianych drzew,2025,Odkrycia,K,K,?,?,?,?,?,?,?,,Naaz Shaikh,
Przygotowania do rewolucji,2026,Odkrycia,K,KM,?,M,?,?,M,,,,,
Rzeczny pociąg,2026,Odkrycia,M,M,?,?,?,?,?,?,?,,Milo Barria,
Sześć miesięcy w różowym i niebieskim budynku,2026,Odkrycia,M,M,?,?,?,?,?,,,,Eduardo Ayala,
Urlop bezpłatny,2025,Odkrycia,K,K,?,KM,?,,M,,,,,
W czerwcu mnie nie będzie,2026,Odkrycia,K,K,?,?,?,?,?,,,,Naomi Cosma,
Wariacja na temat,2026,Odkrycia,?,?,?,?,?,M,?,,?,,Hettie Farmer,
Wczoraj nikt nie zmrużył oka,2026,Odkrycia,?,?,?,?,?,,?,,,,Rim Al Mawla,
Błękitny brzeg,2026,Smart 7,K,K,?,?,?,?,?,?,?,?,Mihaela Subțirică,
Cena zwycięstwa,2025,Smart 7,M,M,?,M,?,,?,?,?,?,Mort Klonaraki,
Gość,2025,Smart 7,M,KM,M,M,,,?,?,?,?,Darius Šilėnas,
Linie przerywane,2025,Smart 7,K,K,?,?,?,,?,?,?,?,Mara Sánchez,
Nie ma duchów w mieszkaniu na Dobrej,2025,Smart 7,?,,,,,,,,,,,
Ognie,2025,Smart 7,K,KM,M,?,M,,KM,?,?,?,Vigdís Hrefna Pálsdóttir,
Wieczny płomień,2025,Smart 7,?,?,?,?,,?,?,?,,?,Henrique Gil,
Aspen,1991,Pokazy Specjalne,M,M,M,M,,,M,,,,John Denver,M
Fucha,1982,Pokazy Specjalne,M,M,M,M,M,,M,?,?,?,Jeremy Irons,M
Fukushima z Bélą Tarrem,2024,Pokazy Specjalne,K,K,K,K,,,,,,,Béla Tarr,M
Indie Zachodnie,1979,Pokazy Specjalne,M,M,M,?,?,,M,?,?,?,Cyril Aventurin,
Kino Muranów,2025,Pokazy Specjalne,K,K,M,?,M,,?,,,,,
"Lech Janerka – śpij, śpij, inteligencie",2025,Pokazy Specjalne,?,?,M,?,M,,?,,,,Lech Janerka,M
Lola Montès,1955,Pokazy Specjalne,M,KM,M,KM,M,,M,?,?,,Martine Carol,K
